,REA_WIND_METEO_AT,REA_PV_METEO_AT,REA_WIND_METEO_BE,REA_PV_METEO_BE,REA_OFF_METEO_BE,REA_ON_METEO_BE,REA_WIND_METEO_CZ,REA_PV_METEO_CZ,REA_WIND_METEO_DK_EA,REA_WIND_METEO_DK_WE,REA_PV_METEO_DK_EA,REA_PV_METEO_DK_WE,REA_OFF_METEO_DK_EA,REA_OFF_METEO_DK_WE,REA_ON_METEO_DK_EA,REA_ON_METEO_DK_WE,REA_WIND_METEO_FR,REA_PV_METEO_FR,REA_WIND_METEO_DE,REA_PV_METEO_DE,REA_WIND_METEO_IT_CN,REA_WIND_METEO_IT_NR,REA_PV_METEO_IT_CN,REA_PV_METEO_IT_NR,REA_WIND_METEO_NL,REA_PV_METEO_NL,REA_OFF_METEO_NL,REA_ON_METEO_NL,REA_WIND_METEO_ES,REA_PV_METEO_ES,REA_PV_METEO_CH,REA_WIND_METEO_UK,REA_PV_METEO_UK,REA_WIND_METEO_PT,REA_PV_METEO_PT,REA_WIND_METEO_NO_NO1,REA_WIND_METEO_NO_NO2,REA_WIND_METEO_NO_NO3,REA_WIND_METEO_NO_NO4,REA_WIND_METEO_NO,REA_WIND_METEO_SE_SE1,REA_WIND_METEO_SE_SE2,REA_WIND_METEO_SE_SE3,REA_WIND_METEO_SE_SE4,REA_WIND_METEO_SE
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2180.1193937519333,,3740.0,130.34285714285716,,,,,,,,,,
2011,,,,,,,,2132.0,,,,,,,,,,,,17907.90519807648,,,,,,,,,20381.09357153317,,,3504.150684931507,,4217.432876712329,142.66849315068492,,,,,,,,,,
2012,,,,2502.0,,,,2132.0,,,,,,,,,7130.8,,,26180.56830601093,,,,8869.0,,,,,21539.24043715847,,,4003.6803278688526,,4476.920765027322,185.94535519125682,,,,,,,,,,
2013,,,,2502.0,,,,2132.0,,,,,,,,,7700.216438356164,4078.668647845468,,32407.28219178082,,,,8869.0,,,,,22626.890410958906,,,4445.413698630137,,4579.528767123287,260.9178082191781,,,,,,,,,,
2014,2112.3064167267485,,,2661.2986301369865,,,,2132.0,,,,,,,,,8405.52602739726,4587.104109589041,,35966.06301369863,,,,8869.0,,,,,22741.580821917807,4430.4762035763415,,5029.010958904109,,4799.038356164384,368.8164383561644,,,,210.0,,,,,,
2015,2470.145205479452,,,2818.0,,,277.0,2050.0842465753426,,4302.560223769837,,,,1183.038474711725,908.6661719374358,3119.527229135746,9546.495890410959,5463.742465753425,,37737.339497716894,,,,8869.0,,960.1604184829991,,,22770.509589041096,4428.0,,5952.186301369863,8791.050265002565,4968.172602739726,457.26849315068495,,,,213.4958904109589,,575.227397260274,1685.2027397260274,2175.6246575342466,1565.2739726027398,6001.320547945205
2016,2819.245901639344,,,2818.0,,,277.0,2056.253073770492,,4567.617486338798,250.632270866923,492.98545592512966,,1185.0218579234972,959.2213114754098,3382.601092896175,10347.58743169399,6262.128415300546,,38794.20321038251,,,,8869.0,,1448.4043715846994,,,22779.0,4428.0,,7359.44262295082,10348.95081967213,5255.751366120218,498.30601092896177,,,,222.81147540983608,,588.2704918032787,2130.0409836065573,2238.448087431694,1640.9562841530055,6597.70218579235
2017,3123.317808219178,,,2952.6301369863013,,1820.0,277.0,2056.7397260273974,,4639.920547945206,271.6904109589041,537.5643835616438,,1187.0027397260274,984.7232876712329,3452.9150684931506,12273.506849315068,6985.71506849315,,40060.968493150685,,,,8869.0,,1837.123287671233,957.0,,22859.0,4429.997260273973,,11254.838356164384,12125.027739726027,5385.947945205479,511.4,,616.76,,262.26575342465753,,627.345205479452,2319.8027397260275,2356.7479452054795,1762.704109589041,7066.61095890411
2018,3283.635616438356,,3484.541868254559,3265.2849315068493,1461.3636025307035,1915.6602739726027,302.1873287671233,2037.3510273972602,,4683.5232876712325,292.27945205479455,583.4493150684932,,1188.9808219178083,1005.5671232876713,3494.558904109589,13868.506849315068,7969.71506849315,58703.57729468599,42393.56598173516,,103.35679742074154,1893.0,8876.34794520548,4747.329791319933,2762.6684931506848,957.0,3790.3297913199335,22960.528767123287,4449.364383561644,,14687.895890410959,13023.775342465753,5420.991780821918,558.4767123287671,,639.3506849315069,,290.9890410958904,,674.9260273972603,2378.9013698630138,2497.912328767123,1766.0082191780823,7317.764383561644
2019,3556.7643835616436,,3832.219178082192,3519.432876712329,1726.0602739726028,2106.0054794520547,314.7246575342466,2047.1116438356164,,5257.939726027397,321.0876712328767,626.4767123287671,,1437.641095890411,1059.0,3820.27397260274,15575.843835616439,8886.969863013699,59800.42214611872,44904.93447488584,149.39979445015416,132.67945205479452,1906.013698630137,9050.131506849315,4919.0,3591.027373823781,957.0,3962.0,23594.027397260274,5264.095890410959,,16905.89589041096,13076.624657534247,5493.238356164384,645.786301369863,191.1676646706587,720.7506849315068,835.5556385362211,352.16438356164383,2108.25748502994,1079.7808219178082,2591.912328767123,2722.723287671233,1768.3205479452056,8162.767123287671
2020,3674.7622950819673,723.0,4420.42349726776,4047.292349726776,2128.6311475409834,2291.6065573770493,325.6514116575592,2054.035519125683,1559.9150920832337,5448.647540983607,361.06284153005464,803.1612021857924,500.7543649844535,1571.0,1059.0,3877.6639344262294,16826.051912568306,9806.090163934427,61581.86555100182,48585.99237249545,162.0,155.0,1946.2704918032787,9342.879781420765,4919.0,,957.0,3962.0,25897.20491803279,9549.464480874318,2220.517508293402,17921.822404371585,13080.234972677596,5539.803278688524,815.1775956284152,198.0,1182.2295081967213,1190.1092896174864,568.1448087431694,3138.4043715846997,1492.9590163934427,3727.814207650273,3040.497267759563,1769.0,10030.672131147541
2021,3860.813559322034,723.0,5096.4559585492225,4788.0,2593.0,2502.9896373056995,339.0,2057.210133744856,1831.8058823529411,5449.0,407.6686390532544,883.0295857988166,772.6470588235294,1571.0,1059.0,3878.0,16930.0,9918.0,62433.583333333336,51629.85859375,162.0,155.0,1980.8176795580112,9650.983425414364,5597.0327868852455,,1635.032786885246,3962.0,27073.978142076503,11724.726708074535,2845.965317919075,18376.25748502994,13080.0,5582.5337423312885,994.6174863387978,198.0,1438.051724137931,1419.4827586206898,722.0,3777.7011494252874,1787.2197802197802,3991.7252747252746,3200.0824175824177,1769.0,10748.670329670329
